;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;;;;;;;;;;;;;;;;
;86;K10;K;10;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;87;K11;K;11;2;200;ESQUINA;S/ 40,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;88;K12;K;12;2;200;ESQUINA;S/ 40,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;89;K13;K;13;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;90;K14;K;14;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;91;K15;K;15;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;92;K16;K;16;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;93;L3;L;3;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;94;L4;L;4;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;95;L5;L;5;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;96;L6;L;6;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;97;L7;L;7;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;98;L8;L;8;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;99;L9;L;9;2;200;FRENTE PARQUE;S/ 36,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;100;L10;L;10;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;101;L11;L;11;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;102;L12;L;12;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;103;L13;L;13;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;104;L14;L;14;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;105;L15;L;15;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;106;L16;L;16;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;107;L17;L;17;2;200;ESTANDAR;S/ 34,000.00;S/ 5,000.00;S/ 29,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;108;L18;L;18;2;200;ESQUINA;S/ 40,000.00;S/ 5,000.00;S/ 35,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;109;M1;M;1;3;202.50;ESQUINA;S/ 34,362.50;S/ 5,000.00;S/ 29,362.50;S/ 2,000.00;;;;;;;;;;;;;;;;
;110;M2;M;2;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;111;M3;M;3;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;112;M4;M;4;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;113;M5;M;5;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;114;M6;M;6;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;115;M7;M;7;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;116;M8;M;8;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;117;M9;M;9;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;118;M10;M;10;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;119;M11;M;11;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;120;M12;M;12;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;121;M13;M;13;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;122;M14;M;14;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;123;M15;M;15;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;124;M16;M;16;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
;125;M17;M;17;3;200;ESTANDAR;S/ 30,000.00;S/ 5,000.00;S/ 25,000.00;S/ 2,000.00;;;;;;;;;;;;;;;;
