;N°;CODIGO;MZ;LOTE;ETAPA;AREA;UBICACIÓN;PRECIO LISTA;DSCTO POR PRE-VENTA;PRECIO FINAL;INICIAL;84 CUOTAS
;68;J15;J;15;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;69;J16;J;16;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;70;J17;J;17;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;71;J18;J;18;2;200;ESQUINA;S/ 43,000.00;S/ 8,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;72;K1;K;1;2;202.44;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 5,000.00;S/ 37,451.40;S/ 2,000.00;S/ 422.04
;73;K2;K;2;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 8,000.00;S/ 31,004.65;S/ 2,000.00;S/ 345.29
;74;K3;K;3;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 8,000.00;S/ 31,004.65;S/ 2,000.00;S/ 345.29
;75;K4;K;4;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 8,000.00;S/ 31,004.65;S/ 2,000.00;S/ 345.29
;76;K5;K;5;2;200.03;FRENTE PARQUE;S/ 39,004.65;S/ 8,000.00;S/ 31,004.65;S/ 2,000.00;S/ 345.29
;77;K6;K;6;2;202.44;ESQ. FRENTE A PARQUE;S/ 45,451.40;S/ 8,000.00;S/ 37,451.40;S/ 2,000.00;S/ 422.04
;78;K7;K;7;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;79;K8;K;8;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;80;K9;K;9;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;81;K10;K;10;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;82;K11;K;11;2;200;ESQUINA;S/ 43,000.00;S/ 8,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;83;K12;K;12;2;200;ESQUINA;S/ 43,000.00;S/ 8,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
;84;K13;K;13;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;85;K14;K;14;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;86;K15;K;15;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;87;K16;K;16;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;88;L1;L;1;2;200;ESQ. FRENTE A PARQUE;S/ 38,000.00;S/ 5,000.00;S/ 37,000.00;S/ 2,000.00;S/ 416.67
;89;L2;L;2;2;200;FRENTE PARQUE;S/ 32,000.00;S/ 5,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;90;L3;L;3;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;91;L4;L;4;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;92;L5;L;5;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;93;L6;L;6;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;94;L7;L;7;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;95;L8;L;8;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;96;L9;L;9;2;200;FRENTE PARQUE;S/ 39,000.00;S/ 8,000.00;S/ 31,000.00;S/ 2,000.00;S/ 345.24
;97;L10;L;10;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;98;L11;L;11;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;99;L12;L;12;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;100;L13;L;13;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;101;L14;L;14;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;102;L15;L;15;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;103;L16;L;16;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;104;L17;L;17;2;200;ESTANDAR;S/ 37,000.00;S/ 8,000.00;S/ 29,000.00;S/ 2,000.00;S/ 321.43
;105;L18;L;18;2;200;ESQUINA;S/ 43,000.00;S/ 8,000.00;S/ 35,000.00;S/ 2,000.00;S/ 392.86
